Computer Name,Software Name,Software Version,Software Installed Date
46-0195,Trend Micro Apex One Security Agent,14.0.9390,"Mar 2, 2020"
46-0195,Trend Micro OfficeScan Agent,14.0.9390,"Oct 15, 2019"
46-0196,Trend Micro Apex One Security Agent,14.0.9390,"Feb 17, 2020"
46-0196,Trend Micro OfficeScan Agent,14.0.9390,"Oct 1, 2019"
46-0197,Trend Micro Apex One Security Agent,14.0.9390,"May 25, 2020"
46-0197,Trend Micro OfficeScan Agent,14.0.9390,"Oct 4, 2019"
46-0198,Trend Micro Apex One Security Agent,14.0.9390,"Jan 26, 2020"
46-0198,Trend Micro OfficeScan Agent,14.0.9390,"Oct 3, 2019"
46-0199,Trend Micro Apex One Security Agent,14.0.9390,"Feb 2, 2020"
46-0199,Trend Micro OfficeScan Agent,14.0.9390,"Sep 23, 2019"
46-0200,Trend Micro Apex One Security Agent,14.0.9390,"Apr 2, 2020"
46-0200,Trend Micro OfficeScan Agent,14.0.9390,"Sep 23, 2019"
46-0201,Trend Micro Apex One Security Agent,14.0.9390,"Feb 19, 2020"
46-0201,Trend Micro OfficeScan Agent,14.0.9390,"Oct 24, 2019"
46-0202,Trend Micro Apex One Security Agent,14.0.9390,"May 28, 2020"
46-0202,Trend Micro OfficeScan Agent,14.0.9390,"Nov 11, 2019"
46-0203,Trend Micro Apex One Security Agent,14.0.7313,"Mar 25, 2020"
46-0203,Trend Micro OfficeScan Agent,14.0.7313,"Oct 8, 2019"
46-0203,Trend Micro Security Agent,14.0.7313,"Feb 12, 2020"
46-0204,Trend Micro Apex One Security Agent,14.0.9390,"Jul 17, 2020"
46-0205,Trend Micro Apex One Security Agent,14.0.9390,"Apr 7, 2021"
46-0205,Trend Micro OfficeScan Agent,14.0.9390,"Oct 23, 2019"
46-0206,Trend Micro Apex One Security Agent,14.0.9390,"Feb 2, 2020"
46-0206,Trend Micro OfficeScan Agent,14.0.9390,"Sep 27, 2019"
46-0207,Trend Micro Apex One Security Agent,14.0.9390,"Feb 23, 2020"
46-0207,Trend Micro OfficeScan Agent,14.0.9390,"Sep 26, 2019"
46-0208,Trend Micro OfficeScan Agent,14.0.9390,"Sep 24, 2019"
46-0208,Trend Micro Apex One Security Agent,14.0.9390,"Mar 9, 2020"
46-0209,Trend Micro Apex One Security Agent,14.0.9390,"Feb 17, 2020"
46-0209,Trend Micro OfficeScan Agent,14.0.9390,"Oct 1, 2019"
46-0210,Trend Micro Apex One Security Agent,14.0.9390,"May 20, 2020"
46-0210,Trend Micro OfficeScan Agent,14.0.9390,"Oct 3, 2019"
46-0211,Trend Micro Apex One Security Agent,14.0.9390,"Feb 4, 2020"
46-0211,Trend Micro OfficeScan Agent,14.0.9390,"Oct 9, 2019"
46-0212,Trend Micro Apex One Security Agent,14.0.9324,"Feb 5, 2021"
46-0212,Trend Micro OfficeScan Agent,14.0.9324,"Oct 9, 2019"
46-0212,Trend Micro Security Agent,14.0.9324,"Feb 8, 2020"
46-0213,Trend Micro Apex One Security Agent,14.0.8944,"Oct 22, 2020"
46-0213,Trend Micro Security Agent,14.0.8944,"Feb 17, 2020"
46-0213,Trend Micro OfficeScan Agent,14.0.8944,"Oct 9, 2019"
46-0214,Trend Micro Security Agent,14.0.7313,"Mar 13, 2020"
46-0214,Trend Micro Apex One Security Agent,14.0.7313,"Apr 21, 2020"
46-0214,Trend Micro OfficeScan Agent,14.0.7313,"Oct 9, 2019"
46-0215,Trend Micro Apex One Security Agent,14.0.9390,"Mar 18, 2020"
46-0215,Trend Micro OfficeScan Agent,14.0.9390,"Dec 18, 2019"
46-0216,Trend Micro Apex One Security Agent,14.0.9390,"Jul 21, 2020"
46-0216,Trend Micro OfficeScan Agent,14.0.9390,"Jan 6, 2020"
46-0217,Trend Micro Apex One Security Agent,14.0.9390,"May 21, 2020"
46-0217,Trend Micro OfficeScan Agent,14.0.9390,"Jan 6, 2020"
46-0218,Trend Micro Apex One Security Agent,14.0.9390,"May 11, 2020"
46-0218,Trend Micro OfficeScan Agent,14.0.9390,"Jan 5, 2020"
46-0219,Trend Micro Apex One Security Agent,14.0.9390,"Apr 15, 2020"
46-0219,Trend Micro OfficeScan Agent,14.0.9390,"Jan 6, 2020"
46-0220,Trend Micro Apex One Security Agent,14.0.8515,"Jul 16, 2020"
46-0220,Trend Micro OfficeScan Agent,14.0.8515,"Jan 6, 2020"
46-0220,Trend Micro Security Agent,14.0.8515,"Feb 11, 2020"
46-0221,Trend Micro Apex One Security Agent,14.0.9324,"Jan 27, 2021"
46-0221,Trend Micro OfficeScan Agent,14.0.9324,"Jan 6, 2020"
46-0221,Trend Micro Security Agent,14.0.9324,"Feb 3, 2020"
46-0222,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
46-0222,Trend Micro OfficeScan Agent,14.0.9390,"Jan 6, 2020"
46-0223,Trend Micro Apex One Security Agent,14.0.9390,"Apr 22, 2020"
46-0223,Trend Micro OfficeScan Agent,14.0.9390,"Jan 6, 2020"
46-0224,Trend Micro Apex One Security Agent,14.0.9390,"Jun 1, 2020"
46-0224,Trend Micro OfficeScan Agent,14.0.9390,"Jan 6, 2020"
46-0225,Trend Micro Apex One Security Agent,14.0.9390,"Jan 11, 2021"
5520-XXXX,Trend Micro Apex One Security Agent,14.0.9324,"Jan 29, 2021"
98-0043,Trend Micro Apex One Security Agent,14.0.9043,"Oct 27, 2020"
98-0043,Trend Micro OfficeScan Agent,14.0.9043,"Dec 5, 2018"
98-0044,Trend Micro OfficeScan Agent,12.0.5431,"Feb 9, 2017"
98-0050,Trend Micro OfficeScan Agent,12.0.5422,"Apr 20, 2017"
98-0052,Trend Micro Apex One Security Agent,14.0.7867,"May 27, 2020"
98-0052,Trend Micro OfficeScan Agent,14.0.7867,"Jul 3, 2017"
98-0054,Trend Micro Apex One Security Agent,14.0.9244,"Dec 17, 2020"
98-0054,Trend Micro OfficeScan Agent,14.0.9244,"Sep 18, 2017"
98-0057,Trend Micro Apex One Security Agent,14.0.9390,"Feb 18, 2020"
98-0057,Trend Micro OfficeScan Agent,14.0.9390,"Oct 21, 2019"
98-0058,Trend Micro Apex One Security Agent,14.0.8944,"Sep 23, 2020"
98-0058,Trend Micro OfficeScan Agent,14.0.8944,"Jan 24, 2018"
98-0060,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
98-0060,Trend Micro OfficeScan Agent,14.0.9390,"Oct 31, 2018"
98-0064,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
98-0064,Trend Micro OfficeScan Agent,14.0.9390,"Feb 4, 2019"
98-0065,Trend Micro Apex One Security Agent,14.0.9390,"Feb 2, 2020"
98-0065,Trend Micro OfficeScan Agent,14.0.9390,"Nov 19, 2019"
98-0066,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
98-0066,Trend Micro OfficeScan Agent,14.0.9390,"Oct 15, 2019"
98-0067,Trend Micro OfficeScan Agent,12.0.5383,"Aug 13, 2019"
98-0068,Trend Micro Apex One Security Agent,14.0.7867,"May 28, 2020"
98-0068,Trend Micro OfficeScan Agent,14.0.7867,"Dec 15, 2019"
98-0069,Trend Micro OfficeScan Agent,14.0.9390,"Oct 28, 2019"
98-0069,Trend Micro Apex One Security Agent,14.0.9390,"Feb 4, 2020"
98-0070,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
98-0070,Trend Micro OfficeScan Agent,14.0.9390,"Nov 25, 2019"
98-0072,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
98-0072,Trend Micro OfficeScan Agent,14.0.9390,"Dec 6, 2019"
98-0073,Trend Micro Apex One Security Agent,14.0.9390,"Mar 1, 2020"
98-0073,Trend Micro OfficeScan Agent,14.0.9390,"Dec 18, 2019"
98-0074,Trend Micro Apex One Security Agent,14.0.9390,"Nov 10, 2020"
98-0075,Trend Micro Apex One Security Agent,14.0.9244,"Dec 17, 2020"
98-0075,Trend Micro Security Agent,14.0.9244,"May 20, 2020"
98-0076,Trend Micro Apex One Security Agent,14.0.9390,"May 28, 2020"
98-0077,Trend Micro Apex One Security Agent,14.0.9324,"Feb 12, 2021"
98-0077,Trend Micro Security Agent,14.0.9324,"May 28, 2020"
98-0078,Trend Micro Apex One Security Agent,14.0.9390,"Jul 22, 2020"
98-0079,Trend Micro Apex One Security Agent,14.0.9390,"Feb 9, 2021"
98-0130,Trend Micro Apex One Security Agent,14.0.9390,"Nov 4, 2020"
98-0131,Trend Micro Apex One Security Agent,14.0.9390,"Dec 16, 2020"
98-0133,Trend Micro Apex One Security Agent,14.0.9390,"Feb 3, 2021"
CV-01,Trend Micro Apex One Security Agent,14.0.9390,"Mar 13, 2020"
CV-02,Trend Micro Apex One Security Agent,14.0.9390,"Mar 13, 2020"
CV-04,Trend Micro Apex One Security Agent,14.0.9324,"Mar 16, 2021"
CV-04,Trend Micro Security Agent,14.0.9324,"Mar 13, 2020"
CV-05,Trend Micro Apex One Security Agent,14.0.9043,"Oct 28, 2020"
CV-05,Trend Micro Security Agent,14.0.9043,"Mar 17, 2020"
CV-06,Trend Micro Apex One Security Agent,14.0.8944,"Oct 19, 2020"
CV-06,Trend Micro Security Agent,14.0.8944,"Mar 13, 2020"
CV-07,Trend Micro Apex One Security Agent,14.0.9390,"Mar 13, 2020"
CV-08,Trend Micro Apex One Security Agent,14.0.9390,"Mar 13, 2020"
CV-09,Trend Micro Apex One Security Agent,14.0.9390,"Mar 16, 2020"
CV-10,Trend Micro Security Agent,14.0.6091,"Mar 16, 2020"
CV-11,Trend Micro Apex One Security Agent,14.0.9390,"Mar 13, 2020"
CV-12,Trend Micro Apex One Security Agent,14.0.9390,"Mar 13, 2020"
CV-13,Trend Micro Apex One Security Agent,14.0.8944,"Sep 23, 2020"
CV-13,Trend Micro Security Agent,14.0.8944,"Mar 14, 2020"
CV-14,Trend Micro Apex One Security Agent,14.0.9390,"Mar 16, 2020"
CV-15,Trend Micro Security Agent,14.0.9233,"Mar 19, 2020"
CV-15,Trend Micro Apex One Security Agent,14.0.9233,"Dec 9, 2020"
CV-16,Trend Micro Apex One Security Agent,14.0.9390,"Mar 16, 2020"
CV-17,Trend Micro Apex One Security Agent,14.0.9043,"Oct 28, 2020"
CV-17,Trend Micro Security Agent,14.0.9043,"Mar 16, 2020"
CV-18,Trend Micro Apex One Security Agent,14.0.9233,"Dec 9, 2020"
CV-18,Trend Micro Security Agent,14.0.9233,"Mar 16, 2020"
CV-19,Trend Micro Apex One Security Agent,14.0.8515,"Jul 15, 2020"
CV-19,Trend Micro Security Agent,14.0.8515,"Mar 16, 2020"
CV-20,Trend Micro Apex One Security Agent,14.0.9390,"Mar 16, 2020"
CV-21,Trend Micro Apex One Security Agent,14.0.9390,"Mar 16, 2020"
CV-22,Trend Micro Apex One Security Agent,14.0.8944,"Sep 28, 2020"
CV-22,Trend Micro Security Agent,14.0.8944,"Mar 17, 2020"
DESKTOP-J1Q99NV,Trend Micro Apex One Security Agent,14.0.8736,"Mar 4, 2021"
NLPTP1,Trend Micro Apex One Security Agent,14.0.9390,"Nov 13, 2018"
PCIAD100,Trend Micro Deep Security Agent,9.6.8904,"Aug 26, 2019"
PCIBOJD1,Trend Micro Deep Security Agent,9.6.8904,"Aug 26, 2019"
PCIPORD1,Trend Micro Deep Security Agent,9.6.8904,"Aug 26, 2019"
PESCA01,Trend Micro Apex One Security Agent,14.0.9390,"Jun 3, 2020"
PESCA102,Trend Micro OfficeScan Agent,12.0.5383,"Aug 22, 2019"
PESCA106,Trend Micro Apex One Security Agent,14.0.8755,"Aug 26, 2020"
PESCA106,Trend Micro OfficeScan Agent,14.0.8755,"Feb 8, 2017"
PESCA112,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
PESCA112,Trend Micro OfficeScan Agent,14.0.9390,"Jan 23, 2017"
PESCA116,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
PESCA116,Trend Micro OfficeScan Agent,14.0.9390,"Feb 6, 2017"
PESCA119,Trend Micro Apex One Security Agent,14.0.7867,"May 28, 2020"
PESCA119,Trend Micro OfficeScan Agent,14.0.7867,"Feb 15, 2017"
PESCA120,Trend Micro OfficeScan Agent,12.0.5294,"Apr 26, 2019"
PESCA121,Trend Micro Apex One Security Agent,14.0.9390,"Oct 20, 2020"
PESCA122,Trend Micro OfficeScan Agent,12.0.5431,"Mar 9, 2017"
PESCA123,Trend Micro OfficeScan Agent,12.0.5431,"Oct 2, 2019"
PESCA124,Trend Micro Apex One Security Agent,14.0.9390,"Sep 23, 2020"
PESCA132,Trend Micro Apex One Security Agent,14.0.9390,"Feb 15, 2021"
PESCA133,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
PESCA133,Trend Micro OfficeScan Agent,14.0.9390,"Dec 21, 2017"
PESCA135,Trend Micro Apex One Security Agent,14.0.7867,"May 28, 2020"
PESCA135,Trend Micro Security Agent,14.0.7867,"Feb 11, 2020"
PESCA138,Trend Micro Apex One Security Agent,14.0.7313,"Mar 25, 2020"
PESCA138,Trend Micro OfficeScan Agent,14.0.7313,"Mar 6, 2018"
PESCA139,Trend Micro Apex One Security Agent,14.0.8755,"Aug 26, 2020"
PESCA139,Trend Micro OfficeScan Agent,14.0.8755,"Mar 5, 2018"
PESCA140,Trend Micro Apex One Security Agent,14.0.9390,"Jan 27, 2020"
PESCA142,Trend Micro Apex One Security Agent,14.0.9390,"Apr 6, 2021"
PESCA142,Trend Micro OfficeScan Agent,14.0.9390,"Mar 23, 2018"
PESCA144,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
PESCA144,Trend Micro OfficeScan Agent,14.0.9390,"Apr 13, 2018"
PESCA145,Trend Micro Apex One Security Agent,14.0.7867,"May 27, 2020"
PESCA145,Trend Micro OfficeScan Agent,14.0.7867,"Dec 10, 2019"
PESCA145,Trend Micro Security Agent,14.0.7867,"Feb 12, 2020"
PESCA147,Trend Micro Apex One Security Agent,14.0.6526,"Jan 27, 2020"
PESCA147,Trend Micro OfficeScan Agent,14.0.6526,"May 17, 2018"
PESCA148,Trend Micro Apex One Security Agent,14.0.9324,"Feb 2, 2021"
PESCA148,Trend Micro OfficeScan Agent,14.0.9324,"Nov 4, 2019"
PESCA148,Trend Micro Security Agent,14.0.9324,"Feb 3, 2020"
PESCA150,Trend Micro Apex One Security Agent,14.0.9390,"May 7, 2020"
PESCA151,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
PESCA151,Trend Micro OfficeScan Agent,14.0.9390,"Sep 18, 2019"
PESCA163,Trend Micro OfficeScan Agent,12.0.5431,"Nov 13, 2019"
PESCA165,Trend Micro OfficeScan Agent,12.0.5383,"Jul 23, 2019"
PESCA166,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
PESCA166,Trend Micro OfficeScan Agent,14.0.9390,"Oct 7, 2019"
PESCA168,Trend Micro OfficeScan Agent,12.0.5294,"Apr 26, 2019"
PESCA169,Trend Micro Apex One Security Agent,14.0.9244,"Dec 23, 2020"
PESCA169,Trend Micro Security Agent,14.0.9244,"Mar 26, 2020"
QST10-Corel,Trend Micro Apex One Security Agent,14.0.9390,"Feb 10, 2019"
QSTADMIN01,Trend Micro Apex One Security Agent,14.0.9390,"Mar 23, 2019"
QST-DSK-990067,Trend Micro Apex One Security Agent,14.0.9390,"Dec 8, 2019"
QST-DSK-990072,Trend Micro Apex One Security Agent,14.0.9390,"Feb 9, 2020"
QST-LAP-021817,Trend Micro Apex One Security Agent,14.0.9390,"Oct 8, 2020"
QST-LAP-021826,Trend Micro Apex One Security Agent,14.0.9390,"Jan 7, 2021"
QST-LAP-021828,Trend Micro Apex One Security Agent,14.0.9390,"Feb 7, 2019"
QST-LAP-021830,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
QST-LAP-021830,Trend Micro OfficeScan Agent,14.0.9390,"Oct 26, 2018"
QST-LAP-021842,Trend Micro Apex One Security Agent,14.0.8755,"Mar 7, 2021"
QST-LAP-400184,Trend Micro Apex One Security Agent,14.0.9324,"Feb 10, 2021"
QST-LAP-400185,Trend Micro Apex One Security Agent,14.0.9390,"Feb 9, 2021"
QST-LAP-400211,Trend Micro Apex One Security Agent,14.0.9390,"Oct 28, 2020"
QST-LAP-400213,Trend Micro Apex One Security Agent,14.0.9324,"Oct 28, 2020"
QST-LAP-400214,Trend Micro Apex One Security Agent,14.0.9390,"Oct 28, 2020"
QST-LAP-400230,Trend Micro Apex One Security Agent,14.0.9390,"Feb 9, 2021"
QST-LAP-990027,Trend Micro Apex One Security Agent,14.0.9324,"Feb 10, 2021"
QST-LAP-990063,Trend Micro Apex One Security Agent,14.0.9390,"Feb 9, 2021"
QST-LAP-990080,Trend Micro Apex One Security Agent,14.0.9390,"Feb 18, 2020"
QST-LAP-990085,Trend Micro Apex One Security Agent,14.0.9390,"Jun 12, 2020"
QST-LAP-990102,Trend Micro Apex One Security Agent,14.0.9390,"Oct 28, 2020"
QST-LAP-990103,Trend Micro Apex One Security Agent,14.0.9390,"Mar 3, 2021"
QST-LAP-990111,Trend Micro Apex One Security Agent,14.0.9390,"Oct 28, 2020"
QST-LAP-990120,Trend Micro Apex One Security Agent,14.0.9390,"Jan 7, 2021"
QST-LAP-990121,Trend Micro Apex One Security Agent,14.0.9324,"Jan 7, 2021"
QST-LAP-990122,Trend Micro Apex One Security Agent,14.0.9390,"Jan 7, 2021"
QST-LAP-990123,Trend Micro Apex One Security Agent,14.0.9390,"Jan 7, 2021"
QST-LAP-990124,Trend Micro Apex One Security Agent,14.0.9390,"Jan 7, 2021"
QST-LAP-990131,Trend Micro Apex One Security Agent,14.0.9390,"Jan 7, 2021"
T16WEBT1,Trend Micro Deep Security Agent,9.6.8288,"Aug 16, 2018"
T16WEBT2,Trend Micro Deep Security Agent,9.6.8288,"Aug 16, 2018"
T8ADSP1,Trend Micro Deep Security Agent,20.0.1681,"Jan 17, 2021"
T8APPP1,Trend Micro Deep Security Agent,20.0.1681,"Jan 18, 2021"
T8APPP2,Trend Micro Deep Security Agent,20.0.1681,"Jan 17, 2021"
T8BRZP1,Trend Micro Deep Security Agent,20.0.1681,"Jan 17, 2021"
T8COND1,Trend Micro Deep Security Agent,11.0.871,"Aug 26, 2019"
T8EPOP1,Trend Micro Deep Security Agent,11.0.439,"Nov 10, 2018"
T8FILP1,Trend Micro Deep Security Agent,20.0.877,"Sep 20, 2020"
T8MDCP1,Trend Micro Deep Security Agent,20.0.1681,"Jan 17, 2021"
T8XAPD2,Trend Micro Deep Security Agent,9.6.7888,"Jun 13, 2017"
T8XSWP1,Trend Micro Deep Security Agent,11.0.439,"Nov 10, 2018"
TMSQLP1,Trend Micro Deep Security Agent,20.0.1681,"Jan 17, 2021"
W7TELECOM,Trend Micro Apex One Security Agent,14.0.9244,"Dec 16, 2020"
W7TELECOM,Trend Micro OfficeScan Agent,14.0.9244,"Jan 18, 2017"
WIN10-63,Trend Micro Apex One Security Agent,14.0.9244,"Dec 21, 2020"
